epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.974598,2.2008,4.18099,1.96396,0.00804,0.04688,0.00208,0.00043,2.1273,4.2232,1.60499,0,0,0
2,1.84356,2.60163,4.45471,1.87704,0.00725,0.04167,0.00181,0.00046,2.10042,4.21957,1.58853,9.00001e-06,9.00001e-06,9.00001e-06
3,2.64681,2.35046,4.40342,1.80238,0.00772,0.04167,0.00194,0.00048,2.0613,4.21354,1.56997,1.782e-05,1.782e-05,1.782e-05
4,3.42729,2.48989,4.32617,1.7859,0.00717,0.03646,0.00216,0.00052,2.03579,4.19823,1.54711,2.64601e-05,2.64601e-05,2.64601e-05
5,4.18497,2.24497,4.3142,1.77503,0.00799,0.03646,0.00307,0.00088,1.98633,4.17996,1.51617,3.49201e-05,3.49201e-05,3.49201e-05
6,4.93041,1.95407,4.24921,1.79963,0.01333,0.07217,0.00445,0.00176,1.94313,4.15581,1.48481,4.32002e-05,4.32002e-05,4.32002e-05
7,5.7803,1.80245,4.16639,1.55321,0.01803,0.08259,0.0089,0.00393,1.89864,4.14403,1.45992,5.13003e-05,5.13003e-05,5.13003e-05
8,6.59053,1.85192,4.11131,1.54866,0.02384,0.09301,0.01693,0.00887,1.85834,4.12843,1.43432,5.92204e-05,5.92204e-05,5.92204e-05
9,7.36347,1.82507,4.11594,1.54967,0.02708,0.09301,0.02583,0.01438,1.80715,4.13,1.41639,6.69606e-05,6.69606e-05,6.69606e-05
10,8.13655,1.94916,4.01666,1.6111,0.0313,0.09301,0.03593,0.0213,1.76819,4.12048,1.39358,7.45207e-05,7.45207e-05,7.45207e-05
11,8.91918,2.09254,4.2598,1.58233,0.03667,0.09821,0.04929,0.02884,1.67391,4.10497,1.35124,8.19009e-05,8.19009e-05,8.19009e-05
12,9.71306,1.74327,4.04491,1.54312,0.04866,0.09821,0.05733,0.03484,1.64884,4.07228,1.33077,8.91011e-05,8.91011e-05,8.91011e-05
13,10.5016,1.84055,4.2059,1.51698,0.05601,0.09821,0.05631,0.03434,1.66348,4.05177,1.32782,9.61213e-05,9.61213e-05,9.61213e-05
14,11.2557,2.09095,4.11414,1.66208,0.05506,0.09821,0.05958,0.04025,1.67149,4.046,1.33132,0.000102962,0.000102962,0.000102962
15,12.0114,1.70645,3.91089,1.44748,0.0551,0.09821,0.06223,0.04754,1.62902,4.03785,1.31294,0.000109622,0.000109622,0.000109622
16,12.8003,1.9991,4.01812,1.49294,0.05127,0.10342,0.0674,0.04937,1.63399,4.02696,1.30147,0.000116102,0.000116102,0.000116102
17,13.5535,1.69889,3.76508,1.37125,0.04671,0.10342,0.07829,0.05553,1.62112,4.01618,1.29175,0.000122402,0.000122402,0.000122402
18,14.2995,1.37614,3.7326,1.2788,0.04671,0.10342,0.07829,0.05553,1.62112,4.01618,1.29175,0.000128523,0.000128523,0.000128523
19,15.0552,1.79183,3.96479,1.45099,0.04676,0.10342,0.07772,0.05516,1.62658,4.00218,1.29724,0.000134463,0.000134463,0.000134463
20,15.8459,1.72594,3.96406,1.29393,0.04676,0.10342,0.07772,0.05516,1.62658,4.00218,1.29724,0.000140223,0.000140223,0.000140223
21,16.5809,1.41659,3.58688,1.32305,0.0419,0.10342,0.09632,0.07184,1.62141,3.99305,1.29583,0.000145804,0.000145804,0.000145804
22,17.3856,1.59228,3.62208,1.27446,0.0419,0.10342,0.09632,0.07184,1.62141,3.99305,1.29583,0.000151204,0.000151204,0.000151204
23,18.1541,1.52219,3.67444,1.41134,0.0401,0.10342,0.09189,0.073,1.56222,3.97879,1.27359,0.000156424,0.000156424,0.000156424
